Reference, Value, Footprint, Datasheet
U2,74HC595N,Custom_Library:SOIC-16,
U3,ULN2803A,Custom_Library:SOIC-18,
U1,ATMEGA328P,Custom_Library:TQFP-32,
U4,74HC595N,Custom_Library:SOIC-16,
U5,ULN2803A,Custom_Library:SOIC-18,
U6,74HC595N,Custom_Library:SOIC-16,
U7,ULN2803A,Custom_Library:SOIC-18,
U8,74HC595N,Custom_Library:SOIC-16,
U9,ULN2803A,Custom_Library:SOIC-18,
C6,0.1uF,Custom_Library:0805,
C7,0.1uF,Custom_Library:0805,
C8,0.1uF,Custom_Library:0805,
C9,0.1uF,Custom_Library:0805,
TP2,SPARE_OUT,Custom_Library:Proto_01x02,
J3,EXPANSION IN,Custom_Library:Pin_Header_02x08_Shrouded,https://www.digikey.ca/product-detail/en/on-shore-technology-inc/302-S161/ED10523-ND/2794234
TP1,SPARE_IN,Custom_Library:Proto_01x02,
J5,FTDI SERIAL,Custom_Library:Pin_Header_01x06,
C1,0.1uF,Custom_Library:0805,
D6,LED,Custom_Library:0805_LED,
D2,LED,Custom_Library:0805_LED,
D3,LED,Custom_Library:0805_LED,
D4,LED,Custom_Library:0805_LED,
D5,LED,Custom_Library:0805_LED,
R6,R,Custom_Library:0805,
R2,R,Custom_Library:0805,
R3,R,Custom_Library:0805,
R4,R,Custom_Library:0805,
R5,R,Custom_Library:0805,
PS1,LM7805,Custom_Library:TO-220,
C2,100uF,Custom_Library:C_Radial_D8_P3.5,
C4,10uF,Custom_Library:C_Radial_D5_P2.5,
C5,0.1uF,Custom_Library:0805,
C3,0.1uF,Custom_Library:0805,
D1,LED,Custom_Library:0805_LED,
R1,1k,Custom_Library:0805,
F2,1A,Custom_Library:2920,https://www.digikey.ca/product-detail/en/bel-fuse-inc/0ZCF0100AF2A/507-2070-1-ND/6210547
F3,1A,Custom_Library:1812,
J1,+24VDC,Custom_Library:Conn_DC_Jack_Tab,
F4,500mA,Custom_Library:1812,
J4,EXPANSION OUT,Custom_Library:Pin_Header_02x08_Shrouded,https://www.digikey.ca/product-detail/en/on-shore-technology-inc/302-S161/ED10523-ND/2794234
D7,30V,Custom_Library:SOD-123,
J2,ICSP,Custom_Library:Pin_Header_01x06,
X1,16MHz,Custom_Library:XTAL_SIP-2,
C10,12pF,Custom_Library:0805,
C11,12pF,Custom_Library:0805,
H1,M3,Custom_Library:M3_Isolated,
H2,M3,Custom_Library:M3_Isolated,
H3,M3,Custom_Library:M3_Isolated,
H4,M3,Custom_Library:M3_Isolated,
S1,RESET,Custom_Library:Pushbutton_6mm_4pin,
TP4,ADC01,Custom_Library:Proto_01x02,
R7,2k,Custom_Library:0805,
R8,2k,Custom_Library:0805,
TP5,SPARE_OUT,Custom_Library:Proto_01x02,
TP3,PB12,Custom_Library:Proto_01x02,
J6,LIGHTS 0-15,Custom_Library:Conn_G881A18001TEU,
J7,LIGHTS 16-31,Custom_Library:Conn_G881A18001TEU,
F1,1.85A,Custom_Library:2920,https://www.digikey.ca/product-detail/en/bel-fuse-inc/0ZCF0185FF2C/507-1747-1-ND/4156180
D8,5819,Custom_Library:DIODE_Rectifier_1A,
C12,10uF,Custom_Library:C_Radial_D5_P2.5,
JP0,Jumper_NC_Small,Custom_Library:0805,
R9,10k,Custom_Library:0805,
